City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Komsomolskiy,UZ,89.02,clear sky,40.4272,71.7189,Ikathouse
225,Diplo,PK,84.09,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
230,Souris,CA,75.06,few clouds,49.6172,-100.2612,The Souris Hotel
231,Maunabo,PR,89.65,overcast clouds,18.0072,-65.8993,Maunacaribe
238,Zhangye,CN,76.69,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
245,Laguna,US,88.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
248,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
251,Cookeville,US,89.31,broken clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
255,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
257,Gushikawa,JP,81.63,broken clouds,26.3544,127.8686,Kirari Guest House
259,Kadirli,TR,82.0,clear sky,37.3739,36.0961,Karatepe Park Otel
261,Shihezi,CN,86.54,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
262,Qrendi,MT,82.11,clear sky,35.8347,14.4583,M'Anglu
263,Changde,CN,78.21,clear sky,29.0464,111.6783,Kangshida Hotel
265,Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
266,Agria,HU,81.72,scattered clouds,47.9026,20.3733,Hotel Eger & Park
267,Tura,IN,76.78,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
270,Goderich,CA,83.03,clear sky,43.7501,-81.7165,Harmony Inn
272,Karaton,ID,78.96,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
273,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
275,Walla Walla,US,86.9,smoke,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
276,Hambantota,LK,80.94,overcast clouds,6.1241,81.1185,Bungalow 63
277,Saint George,US,89.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
279,Santa Isabel Do Rio Negro,BR,86.41,light rain,-0.4139,-65.0192,Hotel GSA
280,Magdiwang,PH,82.89,overcast clouds,12.491,122.5135,Sanctuary Garden Resort
283,Dingle,PH,79.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Kheri,IN,83.55,light rain,27.9,80.8,funn mall hotel the landmark Royale
286,Tarakan,ID,80.94,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
292,Yidu,CN,83.48,overcast clouds,24.1614,115.1328,
293,Krabi,TH,87.98,few clouds,8.0726,98.9105,Tharapark View Hotel
294,Harper,LR,77.49,broken clouds,4.375,-7.7169,Screensaver
295,Caucasia,CO,88.09,broken clouds,7.9865,-75.1935,Hotel San Rafael
297,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
299,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
300,Formosa Do Rio Preto,BR,88.66,scattered clouds,-11.0483,-45.1931,Porto Center Hotel
306,Shieli,KZ,85.26,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
307,Xiongzhou,CN,80.8,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
308,Trogir,HR,85.78,clear sky,43.5125,16.2517,Hotel Medena
309,Vinh,VN,81.01,broken clouds,18.6667,105.6667,Khách Sạn Thương Mại
310,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
312,Beyneu,KZ,86.81,clear sky,45.3167,55.2,NUR
315,Palu,ID,75.07,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
318,Ronneby,SE,75.7,broken clouds,56.21,15.276,Hotell Davids Kulle
320,Socuellamos,ES,82.38,few clouds,39.2858,-2.7921,Hostal Genaro
323,Crewe,GB,77.0,broken clouds,53.0979,-2.4416,The Waverley Hotel
324,Wattegama,LK,78.8,overcast clouds,6.7989,81.4808,
325,Bud,US,89.92,clear sky,39.447,-86.1758,Ted McQuinn Trust
329,Umm Lajj,SA,89.74,clear sky,25.0213,37.2685,Moon light Furnished Units
332,Georgiyevka,KZ,80.64,clear sky,43.0369,74.7114,Gostinitsa Imperiya
333,Malindi,KE,75.43,scattered clouds,-3.2175,40.1191,African House Resort
334,Nioro,GM,87.91,overcast clouds,13.35,-15.75,
339,Dakar,SN,88.68,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
343,Naze,JP,77.13,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
346,Faanui,PF,78.58,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
349,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
353,Davila,PH,81.64,light rain,18.4726,120.5763,Blue Ridge Beach Resort
358,Langsa,ID,75.54,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
360,Mana,GF,82.17,scattered clouds,5.6592,-53.7767,LE SAMANA
362,Save,BJ,79.34,overcast clouds,8.0425,2.486,Restaurant Plazza Hotel
364,Calderitas,MX,85.59,few clouds,18.55,-88.25,Hotel Hacienda Campestre
376,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
378,Takoradi,GH,77.23,broken clouds,4.8845,-1.7554,Raybow International Hotel
380,Lompoc,US,76.69,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
382,Odienne,CI,77.25,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
383,Maniwaki,CA,77.38,scattered clouds,46.3834,-75.966,Centre Chateau Logue
389,Leo,BF,85.01,overcast clouds,11.1,-2.1,Hotel Sissilis
393,Huntingdon,GB,77.02,overcast clouds,52.3305,-0.1865,Huntingdon Marriott Hotel
399,Port Perry,CA,87.19,clear sky,44.1068,-78.9444,Willow Pond B&B and Wedding & Event Planners
400,Axim,GH,77.43,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
401,Barstow,US,80.76,light rain,34.8986,-117.0228,"Motel 6 Barstow, CA"
405,Salamanca,ES,83.98,clear sky,40.8333,-6.0,Palacio Carrascalino
411,Pakxan,LA,75.36,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
416,Rasulabad,IN,84.15,overcast clouds,26.75,80.4833,Khan palce
417,Capreol,CA,77.92,few clouds,46.706,-80.9225,
418,Luganville,VU,77.22,broken clouds,-15.5333,167.1667,The Espiritu Hotel
420,Altea,ES,81.66,broken clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
421,Zheleznodorozhnyy,RU,75.72,broken clouds,55.7503,38.0042,Hotel Dali
426,Manokwari,ID,78.37,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
429,Shache,CN,89.58,clear sky,38.4167,77.2406,Delong Hotel
430,Scarborough,GB,78.46,scattered clouds,54.2797,-0.4044,Ambassador Roomzzz
431,Bose,IT,78.75,few clouds,45.4612,8.0137,Locanda Borgo Antico
432,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
436,Rotenburg,DE,78.69,broken clouds,53.1167,9.4,Hotel Landhaus Wachtelhof
444,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
445,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
450,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
451,Norwich,GB,75.15,few clouds,52.6278,1.2983,Holiday Inn Norwich City
453,Thinadhoo,MV,81.37,moderate rain,0.5333,72.9333,
454,Singkawang,ID,77.47,scattered clouds,0.9,109.0,Capital O 1822 Wahana Inn
455,Camopi,GF,85.23,broken clouds,3.1655,-52.3158,
456,Wilhelmshaven,DE,77.22,broken clouds,53.5167,8.1333,ATLANTIC Hotel Wilhelmshaven
459,Meulaboh,ID,78.33,overcast clouds,4.1363,96.1285,Kost Pria
461,Tshikapa,CD,77.09,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
465,Matara,LK,79.72,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
466,Marsa Matruh,EG,80.8,scattered clouds,31.3525,27.2453,Beau Site
467,Lorengau,PG,80.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
470,Nisia Floresta,BR,85.01,few clouds,-6.0911,-35.2086,Rancho Crepusculo
477,Linqu,CN,75.52,light rain,36.5156,118.5397,Jiaohua Hotel
480,Radom,PL,78.28,scattered clouds,51.4025,21.1471,Hotel Iskra - Radom
483,Cururupu,BR,83.88,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
484,Korla,CN,84.34,clear sky,41.7597,86.1469,Gulisitan Hotel
489,San Policarpo,PH,81.41,overcast clouds,12.1791,125.5072,JM Lodge
491,Villamontes,BO,78.24,broken clouds,-21.25,-63.5,Hotel Raldes
495,Moratuwa,LK,78.82,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
499,Bende,NG,76.59,broken clouds,5.5572,7.6368,Bende Local Government Corppers Lodge
500,Kirakira,SB,77.72,overcast clouds,-10.4544,161.9205,SanBiz Lodge
501,Oneonta,US,85.08,scattered clouds,42.4529,-75.0638,Hampton Inn Oneonta
503,Sattahip,TH,86.92,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
504,Hov,NO,76.21,overcast clouds,60.6987,10.3519,Lyngstrand Camping Selj
505,Maumere,ID,75.52,scattered clouds,-8.6199,122.2111,Sylvia Hotel
508,Kalmunai,LK,82.8,overcast clouds,7.4167,81.8167,VS Villa
510,Carutapera,BR,82.99,broken clouds,-1.195,-46.02,Lidera
511,Baisha,CN,77.59,scattered clouds,26.5222,110.9311,
512,Tevaitoa,PF,78.53,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
513,Villa Bruzual,VE,79.92,overcast clouds,9.3328,-69.1208,Edificio Guarente
520,Otanche,CO,75.16,broken clouds,5.6567,-74.1825,Bello Horizonte
521,Erie,US,86.85,scattered clouds,42.7667,-78.6664,Hampton Inn East Aurora
522,Palmer,US,88.48,haze,42.1584,-72.3287,Wedgewood Motel
524,Mangrol,IN,81.79,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
525,Vanimo,PG,75.96,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
528,Presidente Olegario,BR,77.2,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
530,Storforshei,NO,78.58,few clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
537,Vung Tau,VN,80.71,few clouds,10.346,107.0843,Green hotel
539,Steinbach,DE,77.11,few clouds,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
541,Srikakulam,IN,86.4,overcast clouds,18.3,83.9,Sriram residency
542,Kaohsiung,TW,84.15,broken clouds,22.6163,120.3133,御宿商旅-中山館
546,Erzin,TR,84.72,clear sky,36.9559,36.2,Artemis Otel
550,Ha Noi,VN,84.2,broken clouds,21.0245,105.8412,Sofitel Legend Metropole Hanoi
552,Piacabucu,BR,77.13,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
554,Wewak,PG,79.39,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
555,Songkhla,TH,78.85,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
559,Bokoro,TD,80.6,moderate rain,12.3807,17.0568,
561,Naliya,IN,82.11,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
566,Pafos,CY,84.11,clear sky,34.7667,32.4167,Elysium Hotel
567,Legnica,PL,80.87,light rain,51.2101,16.1619,Qubus Hotel Legnica
568,Robertsport,LR,78.35,broken clouds,6.7533,-11.3686,Kwepunha Retreat
569,Simdega,IN,77.58,moderate rain,22.6167,84.5167,Circuit House
570,Acapulco,MX,87.31,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
